,p0q0
1,0.24279981312826465
2,0.23722017205285675
3,0.24128605023648053
4,0.2119545184052498
5,0.23357256122685666
6,0.18909117205173526
7,0.21179639781790643
8,0.20659675345442602
9,0.22677537774224277
10,0.2050926666753323
11,0.23567663146910803
12,0.20758904049183313
13,0.22809836367161987
14,0.2324732272913417
15,0.22608615498547463
16,0.20900620452130933
17,0.18986904056565934
18,0.21698830885525577
19,0.24304235888363182
20,0.21302932559074692
21,0.20839880118685178
22,0.20897208569671102
23,0.24305607682056535
24,0.25546527109611794
25,0.28402650465391094
26,0.2701236552577516
27,0.28055522971560315
28,0.2536074902054713
29,0.2714069268294884
30,0.23934811007389034
31,0.2543642656402306
32,0.23903528304347257
33,0.2691557416377006
34,0.25052236134663586
35,0.27955884316324087
36,0.2440258857177888
37,0.2686853141693873
38,0.28678020338314275
39,0.2693847620493606
40,0.24386643324401389
41,0.24031650974987692
42,0.27144314658942265
43,0.2995389522124784
44,0.27810946040168577
45,0.24732997609967705
46,0.2768518244616043
47,0.3029546761051109
48,0.29153280787791225
49,0.2829516275401064
50,0.2635713284219723
51,0.2692078761424635
52,0.2583083113681362
53,0.273935333047449
54,0.2330961475460346
55,0.260419529295032
56,0.2332836345778694
57,0.27704563847925545
58,0.2507174482543197
59,0.2874455105482116
60,0.2429041801479231
61,0.289087245909817
62,0.2832551908624917
63,0.30424580709529814
64,0.2425924718016924
65,0.23897922076933514
66,0.2570233688212601
67,0.2946653868338055
68,0.2877453647145858
69,0.24447688451412947
70,0.3148781830928894
71,0.30781125134983817
72,0.2905637672445377
73,0.25788670492777216
74,0.24599508937916773
75,0.25616719802167154
76,0.2350798857046249
77,0.24619947635432426
78,0.21075934321055684
79,0.2297396351766728
80,0.22004527993059766
81,0.2436179323962707
82,0.23152935288185375
83,0.24820324667510568
84,0.2242657640216309
85,0.24800143890687976
86,0.2619426656660117
87,0.24292752839248669
88,0.22501317434174278
89,0.21847562261172587
90,0.2375472407333284
91,0.25843649653797046
92,0.23771504410195535
93,0.21930689948019164
94,0.2356608853263352
95,0.2606284901159053
96,0.27521317128229156
97,0.20410370461557154
98,0.2262019857419061
99,0.20559477795776396
100,0.20633085955923136
101,0.20291742808901725
102,0.19715948048413545
103,0.1850986101058439
104,0.19331063955265837
105,0.1997177794546744
106,0.19121456295185554
107,0.23099370247278433
108,0.20805525769059152
109,0.22847036653442873
110,0.2169546990021362
111,0.22029593780383164
112,0.20083425350591996
113,0.19106597821867377
114,0.20884091787900821
115,0.23347615666945404
116,0.1983698606272139
117,0.18007397909481335
118,0.19515639221524972
119,0.21543081339514672
120,0.22674419924405956
121,0.1632082754569468
122,0.15763096132371188
123,0.15794053149101642
124,0.1458869925538062
125,0.16202445853222439
126,0.143848605598679
127,0.13876933081522907
128,0.13085592830993678
129,0.1617847488387014
130,0.14520026841828088
131,0.1568687961421798
132,0.1470450055443102
133,0.15649704716080143
134,0.14458363498110605
135,0.14679958488427738
136,0.14598532790825758
137,0.13969563923953734
138,0.15582137683752834
139,0.15103908456852003
140,0.14331308339798746
141,0.1387188876283938
142,0.13483708707636793
143,0.1534557272329918
144,0.15393764370008883
145,0.11818488732762632
146,0.11558296527651901
147,0.12934799580027642
148,0.10909354944416674
149,0.12834818738598758
150,0.10013910288288462
151,0.1012488103832851
152,0.09416387312769196
153,0.12127860713698463
154,0.10943692813898746
155,0.11558296527651901
156,0.10268512110630292
157,0.11606169888099646
158,0.1102924304491267
159,0.1189352837907563
160,0.12251071781783943
161,0.09631308714770662
162,0.11729718667573184
163,0.11543093471280742
164,0.11253417685332165
165,0.10148297558879467
166,0.09296871935012563
167,0.11362785687775125
168,0.11902226784999939
169,0.046857289486927446
170,0.046857289486927446
171,0.046857289486927446
172,0.046857289486927446
173,0.046857289486927446
174,0.046857289486927446
175,0.046857289486927446
176,0.046857289486927446
177,0.046857289486927446
178,0.046857289486927446
179,0.046857289486927446
180,0.046857289486927446
181,0.046857289486927446
182,0.046857289486927446
183,0.046857289486927446
184,0.046857289486927446
185,0.046857289486927446
186,0.046857289486927446
187,0.046857289486927446
188,0.046857289486927446
189,0.046857289486927446
190,0.046857289486927446
191,0.046857289486927446
192,0.046857289486927446
193,0.26405504176786715
194,0.2639651366756909
195,0.24318203376103736
196,0.2513130393158798
197,0.2615221361832987
198,0.22748737648352743
199,0.25093647557322246
200,0.24086496805063165
201,0.27342444148393685
202,0.23813094927671016
203,0.28473789784135495
204,0.23949611151424954
205,0.28002959489253704
206,0.2569917025680716
207,0.2802513314028781
208,0.24489250147069042
209,0.23443363710270135
210,0.2507831090883235
211,0.27842001127498844
212,0.2822382786969859
213,0.22269915317704134
214,0.29530864490062925
215,0.28636188884308705
216,0.2609657973176193
217,0.0753599808210451
218,0.07400034615255101
219,0.12392779657311188
220,0.07827682421650055
221,0.0897783334753232
222,0.06782772456834266
223,0.07228231889298378
224,0.06800286753971811
225,0.08566346887466417
226,0.06598051898176328
227,0.0753599808210451
228,0.06800286753971811
229,0.08498173206254261
230,0.07228231889298378
231,0.09763165256110508
232,0.10189255738445435
233,0.06731181595257989
234,0.08811733552599942
235,0.08350003416506845
236,0.07228231889298378
237,0.054425111233756034
238,0.059376669670993906
239,0.08369221661173684
240,0.08703841644402718
241,0.1000987885281391
242,0.09371187537740394
243,0.1418750919873549
244,0.09338776086945061
245,0.11129130479679243
246,0.08832855111739633
247,0.08692301961506019
248,0.08420116866870914
249,0.10459434706531463
250,0.08708921838395017
251,0.09341852787139875
252,0.08794895122531869
253,0.10512308921130549
254,0.09369770790628941
255,0.10883509720150439
256,0.11590535747368555
257,0.0888389339894777
258,0.10543509681224668
259,0.10298704798795198
260,0.09651678294843391
261,0.09137307650850601
262,0.0825454095414851
263,0.10342652914139264
264,0.10401334668041207
265,0.4326700968118355
266,0.2755428660354344
267,0.3943068710890504
268,0.3354744384083151
269,0.30419768631227556
270,0.2645903292393205
271,0.2948380559800543
272,0.30261666697684725
273,0.3099219935426983
274,0.2935839717125711
275,0.28506066862435975
276,0.39474541902755367
277,0.29028606783133387
278,0.31967828126137776
279,0.2959550372014963
280,0.2604007392075831
281,0.28530942382466773
282,0.2651369615680727
283,0.3187357490865148
284,0.2878351164207352
285,0.345210617936686
286,0.28669697921856196
287,0.31791326665319386
288,0.33672348358025267
289,0.37119531210060985
290,0.46599427466740084
291,0.29517087181885815
292,0.401083565600603
293,0.3296180410143498
294,0.4244967464363222
295,0.40854648806182525
296,0.34383358962671096
297,0.2950031641434463
298,0.39812429125533805
299,0.36992468953121777
300,0.3731339226436589
301,0.3265989117795917
302,0.3294700988099527
303,0.4422570361046443
304,0.3584594266538861
305,0.4200569441492835
306,0.36691795524739784
307,0.3476290571571736
308,0.3280896858612977
309,0.2833447660550406
310,0.3964345426746077
311,0.31661519973758395
312,0.39900552329823485
313,0.37264015781058607
314,0.36139506789639236
315,0.3794501657057038
316,0.4114976682126015
317,0.4713963694012551
318,0.3371812516455115
319,0.36636153341507555
320,0.30247139526551314
321,0.42477781336301546
322,0.4380672057909782
323,0.36956858037596385
324,0.28770745383244195
325,0.4593261450302133
326,0.42325773883123524
327,0.3723501981997007
328,0.3225366255934937
329,0.3117658744654983
330,0.41406264038180973
331,0.3259258195496887
332,0.4140841819229064
333,0.3573597490230257
334,0.31574171752237046
335,0.3197456073357451
336,0.31864184797931594
337,0.36461157112729325
338,0.3442166383488761
339,0.3920542349954501
340,0.3107954363603311
341,0.3581866892143035
342,0.3602326345686599
343,0.3986220503999104
344,0.4122700905570897
345,0.3427742219136342
346,0.3751754968715154
347,0.31202764412405637
348,0.3971508161838267
349,0.38373679766459345
350,0.2976915644967288
351,0.24333141152664822
352,0.32003860286113034
353,0.3039724105401489
354,0.29543254284299475
355,0.2975862972847554
356,0.3243713224597065
357,0.4448490840826382
358,0.3192626930943944
359,0.31281581264672387
360,0.2997923005703181
361,0.23857391181425544
362,0.24474002727151767
363,0.2482744987673939
364,0.3254085286212584
365,0.2688507972373652
366,0.2985674568499953
367,0.317187103624032
368,0.3111445252994533
369,0.31616043786070797
370,0.3674696972322722
371,0.4135262743183155
372,0.2831389654095781
373,0.36623579828569164
374,0.3176954051643663
375,0.3247785363871334
376,0.27851693609374417
377,0.2795108274609905
378,0.22101993709031648
379,0.2668441011976167
380,0.26994155952909155
381,0.2811629955880019
382,0.25828103682621256
383,0.26335512849097337
384,0.3761953305462844
385,0.28147093681119556
386,0.28386823791399374
387,0.2731527880799402
388,0.2204242052165106
389,0.24550264255924525
390,0.22155569670137093
391,0.2915613463293634
392,0.2624603003553589
393,0.27884998260060034
394,0.2551663929388135
395,0.2586078303975341
396,0.2869827453859031
397,0.30317901243899154
398,0.4046534500540938
399,0.2554746998917138
400,0.27771414020520585
401,0.25979022698069276
402,0.2199560684561538
403,0.18539060005480615
404,0.2214118625405013
405,0.16150269301385592
406,0.1987447003066286
407,0.19899956603707286
408,0.1941998829853428
409,0.18588427953202372
410,0.1952748767615565
411,0.21320070297204377
412,0.19278852543186895
413,0.19221445922641553
414,0.1944662418390861
415,0.17354553788725532
416,0.18924478570115297
417,0.16303826862769497
418,0.1984022962471516
419,0.17709775623860474
420,0.1955532949342639
421,0.183442484042066
422,0.19678549161151304
423,0.18603570215925017
424,0.21952972238051288
425,0.29735046818161076
426,0.17590242986406662
427,0.21383353762905025
428,0.19390180131454499
429,0.15583458424368193
430,0.13334718226319398
431,0.1553332848412128
432,0.11250786751462809
433,0.1319530025270393
434,0.13984664920781595
435,0.14016714647739065
436,0.13810449808737302
437,0.15181834421068588
438,0.14080327103921003
439,0.14158928111418626
440,0.14044266058770988
441,0.13398599107372602
442,0.12910316193683424
443,0.1334029555681733
444,0.11953729117908947
445,0.14936064821742442
446,0.12768277963652547
447,0.1334177589101744
448,0.1320115636666288
449,0.13324564045597312
450,0.13207753128023955
451,0.15359996084469452
452,0.2280922783731362
453,0.12029045420301335
454,0.08014703185998373
455,0.0941893310671759
456,0.07416664278392009
457,0.07053542371186046
458,0.08216733551960195
459,0.06949458551148747
460,0.0666414718903152
461,0.08005746986684392
462,0.0779288728744694
463,0.09703242839130972
464,0.07891616775918103
465,0.07254751971464893
466,0.0754971106997439
467,0.08703011094634913
468,0.08625220428686049
469,0.09828375063586935
470,0.07962760177426506
471,0.06844842045591451
472,0.07026056174775351
473,0.07951667774640418
474,0.0943475982548431
475,0.07866291317729418
476,0.08282297180187075
477,0.08381131142385191
478,0.08203038703730295
479,0.09696027243376168
480,0.07239921358445875
481,0.3359163489337413
482,0.2926634172886283
483,0.39483791466718043
484,0.510545061315824
485,0.33430876721169567
486,0.2778401949750002
487,0.4023024181011316
488,0.4103873109805699
489,0.4220530779954631
490,0.3050718380484555
491,0.28042206623201826
492,0.3884194596168981
493,0.33032821329493445
494,0.39457549996485763
495,0.3254460210425608
496,0.28791131220773597
497,0.28718534075465213
498,0.28799695383031715
499,0.32763311833715547
500,0.3290754087205058
501,0.347429297813525
502,0.29301092569458465
503,0.3256063113802427
504,0.3490811181231185
505,0.3831129535972843
506,0.46471373556892764
507,0.3145113167438474
508,0.11751172340088278
509,0.141484791773196
510,0.10082323671269362
511,0.08193912510204872
512,0.11882335278573336
513,0.06349426017698355
514,0.07398971952207005
515,0.08398016014195743
516,0.10299689152672831
517,0.09563622894973794
518,0.0912067855373269
519,0.09406248784206213
520,0.09424380550350482
521,0.08816542797184282
522,0.08553309441662121
523,0.08609029531421453
524,0.0956560760776807
525,0.08120884404811231
526,0.08029926395322759
527,0.0838182570812837
528,0.08442757669997547
529,0.06043691513022039
530,0.09214985708123598
531,0.08252070643840083
532,0.08696500648412202
533,0.14216181051519064
534,0.07804400198577005
535,0.16846664010719137
536,0.16418733190496249
537,0.1325547266432081
538,0.10394926453325905
539,0.13030477067899646
540,0.09134055293033105
541,0.10433711296677448
542,0.1125454803794053
543,0.11010382520118754
544,0.11627405170346963
545,0.11840347568280672
546,0.1131920390552835
547,0.11637083915861032
548,0.12622714151085282
549,0.11305355800578547
550,0.10060726694144803
551,0.11432963724772242
552,0.10540007643688899
553,0.11662583183495374
554,0.10345421161651082
555,0.11030219059552032
556,0.10101127417169052
557,0.11189474367414352
558,0.1102638655377374
559,0.11792363552647457
560,0.18456212499012972
561,0.09501453405655254
562,0.23719986323995887
563,0.20765818837464017
